단어,뜻,다른 뜻
access,접근,접근하다
accessible,접근할 수 있는,이용 가능한
detail,세부 사항,상세히 기술하다
result,결과,발생하다
opportunity,기회,
share,공유하다,주식
display,전시,전시하다
approve,승인하다,찬성하다
support,지원,지원하다
community,지역 사회,
survey,조사,조사하다
explain,설명하다,
confirm,확인하다,확정하다
vehicle,탈것,차량
extend,연장하다,베풀다
extension,연장,내선번호
extensive,광범위한,대규모의
propose,제안하다,제의하다
international,국제적인,
electronic,전자의,
electronically,전자적으로,컴퓨터로
compete,경쟁하다,
competitive,경쟁력 있는,경쟁적인
cancel,취소하다,
improve,개선하다,향상시키다
introduce,소개하다,도입하다
introductory,입문자를 위한,발매 특가의
renovate,보수하다,수선하다
delay,지연,미루다
prefer,선호하다,
preferably,가급적이면,
allow,허용하다,호락하다
allowance,허용량,용돈
property,부동산,재산
colleague,동료,
concern,걱정,걱정스럽게 하다
concerning,~에 관한,
consider,고려하다,
considerate,배려하는,사려 깊은
mobile,이동식의,모바일의
correct,고치다,바로잡다
publish,출판하다,출간하다
continue,계속하다,지속되다
discontinue,중단하다,단종하다
line,선호하다,줄을 서다
transportation,교통수단,운송
transport,운송하다,나르다
addition,추가,부가
additional,추가의,부가적인
popular,인기있는,
ensure,보장하다,확실하게 하다
assure,보장하다,장담하다
insurance,보험,
accept,받아들이다,수학하다
describe,묘사하다,설명하다
resident,주민,거주자
residence,주택,거주지
seat,좌석,앉히다
seating,좌석,
president,사장,회장
represent,대표하다,대리하다
representative,담당자,대표자
base,기반,근거하다
basis,근거,토대
resource,자원,재원
possible,가능한,
possibly,아마도,어쩌면
revise,수정하다,변경하다
skilled,숙력된,노련한
advise,충고하다,조언하다
advisory,자문의,기상 주의보
due,만기가 된,~하기로 되어 있는
due to,~때문에,
overdue,기한이 지난,연체된
launch,출시,출시하다
sample,샘플,서식하다
extra,추가의,추가로
limit,제한된,제한하다
limited,제한된,한정된
flood,홍수,물에 잠기다
pass,지나가다,통행권
passenger,승객,
surpass,능가하다,뛰어남다
pleased,기쁜,만족하는
pleasure,기쁨,즐거움
record,기록,기록하다
forward,앞으로,보내다
attach,붙이다,첨부하다
detach,분리하다,떼어 내다
fluent,유창한,능통한
facility,시설,
view,전망,보다
overview,개요,
preview,시사회,
fix,수리하다,바로잡다
fixture,설비,
benefit,이익,이익을 얻다
medical,의료의,의학의
medication,약,약물
medicine,약,의학
party,당사자,파티
safe,금고,안전한
load,짐,싣다
download,다운로드하다,내려받다
solve,해결하다,풀다
resolve,해결하다,
specific,구체적인,특정한
specify,특정하다,명시하다
specification,명세,사양
text,글,문자 메시지를 보내다
context,맥락,전후 관계
encourage,권장하다,장려하다
discouragfe,좌절시키다,못하게 하다
expense,경비,비용
upcoming,다가오는,곧 있을
celebrate,축하하다,기념하다
celebrity,유명 인사,
own,소유하다,자신의
point,가리키다,의견
supervise,감독하다,관리하다
fair,박함회,공정한
fairly,상당히,꽤
rate,요금,평가하다
credit,신용,적립금
accredited,승인된,공인된
corporate,법인의,기업의
incorporate,결합하다,포함하다
deadline,마감,데드라인
media,대중 매체,매스 미디어
medium,중간의,
assign,배정하다,할당하다
commit,전념하다,헌신하다
committee,위원회,
commission,위원회,수수료
host,주최자,주최하다
file,서류,철하다
convenience,편리,편의
inconvenience,불편,
retire,은퇴하다,퇴직하다
invest,투자하다,
edit,편집하다,
edition,판,
conduct,수행하다,실시하다
donate,기부하다,
exhibit,전시하다,전시
patient,환자,참을성 있는
code,암호,규정
expert,전문가,전문가의
expertise,전문 지식,전문 기술
miss,놓치다,그리워하다
missing,잃어버린,분실한
appreciate,감사하다,고마워하다
society,협회,학회
social,사회의,사회적인
socialize,교제하다,어울리다
partner,파트너,제휴하다
opening,개장,공석
special,특별한,특별 상품
specialize,전문으로 하다,특화되다
specialty,특산품,전문 분야
express,표현하다,신속한
complain,불평하다,
distribute,배포하다,나눠주다
hall,홀,복도
bill,청구서,청구서를 보내다
belong,~에 속하다,~의 소유이다
belongings,소지품,소유물
effect,영향,효과
effective,효과적인,효율적인
quarter,분기,
original,원래의,원본
original,기원,시작
originate,유래하다,비롯되다
identify,확인하다,알아보다
identity,신원,정체성
personal,개인의,개인적인
personalize,개인의 필요에 맞추다,
volunteer,자원하다,자원봉사자
voluntary,자발적인,
previous,이전의,과거의
apologize,사과하다,
estimate,견적,추정하다
underestimate,과소평가하다,
electric,전기의,
follow,따라가다,따르다
following,다음의,~후에
follw-up,후속 조치,후속의
instead,대신에,
instead of,~대신에,
branch,지점,나뭇가지
regard,여기다,간주하다
regarding,~에 관하여,
regardless of,~에 관계없이,
respond,응답하다,
remind,상기시키다,생각나게 하다
route,노선,경로
routine,일상적인,루틴
upgrade,업그레이드하다,업그레이드
grade,등급,성적
official,공무원,공식적인
convention,대회,협의회
advance,발전,향상시키다
advanced,진보한,고급의
broadcast,방송하다,방송
forecast,예보,예상하다
